subdistrict,year,n_pixels,mean_ff,median_ff,sd_ff,mean_image_count
G,2000,129,0.1265256550186626,0.0884970515966415,0.12243646273175887,3.945736434108527
G,2001,129,0.0733118422139574,0.0439740769409885,0.0791347679867028,5.131782945736434
G,2002,129,0.09706718631960383,0.0594161817183097,0.10565257927212371,4.875968992248062
G,2003,129,0.034182968674494114,0.0063014042874177,0.0636119542109963,5.108527131782946
G,2004,129,0.06350360219523271,0.0332045357907191,0.08226375121496331,5.0852713178294575
G,2005,129,0.05600514817969073,0.0195446908473969,0.08930926731050014,4.751937984496124
G,2006,129,0.034296435609125056,0.0106587056070566,0.0590455932061212,4.542635658914729
G,2007,129,0.052254465260171114,0.0269388785585761,0.06536263496517059,4.426356589147287
G,2008,129,0.056631281761549114,0.0341316536068916,0.06506112980599041,3.13953488372093
G,2009,129,0.03973096096905104,0.0199899319559336,0.050037186127931656,5.286821705426356
G,2010,129,0.02572257272086087,0.0092396452091634,0.039121207496984896,4.217054263565892
G,2011,129,0.010995323567156011,0.0021369840639332,0.021160547660731596,5.713178294573644
G,2012,129,0.013290392319924169,0.0058228901276985,0.019096672189971634,5.294573643410852
G,2013,129,0.054498787793407985,0.0391909713895681,0.05652892097575709,4.883720930232558
G,2014,129,0.03613447559123874,0.0306059367333849,0.035160115087730676,5.317829457364341
G,2015,129,0.003433615046341082,0.0,0.011913216854118785,5.023255813953488
G,2016,129,0.009918951007007492,0.0010359531734138,0.021457860090180553,5.5271317829457365
G,2017,129,0.011385037190762814,0.0048939930275082,0.022143073174127108,5.333333333333333
G,2018,129,0.01395367096995208,0.0057412882645924,0.026413607179648448,3.4263565891472867
G,2019,129,0.01566975195992551,0.0054646140585343,0.027001820780292975,4.10077519379845
G,2020,129,0.001839246058722855,0.0,0.004337144550006063,4.542635658914729
G,2021,129,0.0008944421176094939,0.0,0.0036942687685722958,5.689922480620155
