year,date,n_wells,mean_depth_cm,median_depth_cm,min_depth_cm,max_depth_cm,sd_across_wells_cm,spatial_range_cm
2019,2019-07-19,7,27.17729681809605,27.7978104371627,-1.66068059727564,44.9969812271462,17.137498714140044,46.657661824421844
2019,2019-07-20,7,27.545489186166055,26.4835418781132,-0.812759998137835,44.2832770440532,15.849785972114375,45.096037042191035
2019,2019-07-21,7,26.889420605612376,25.3278750399531,-0.234787835475458,43.4034888163126,15.294188326106923,43.63827665178806
2019,2019-07-22,7,24.642325631328827,24.2553337877197,-2.3908644030314,41.2323236599647,16.12173360000192,43.6231880629961
2019,2019-07-23,7,22.36616769408724,21.8235245136583,-2.73826723388453,38.3386289637414,15.134967031912598,41.07689619762593
2019,2019-07-24,7,20.950326599765187,19.8273638424865,-2.74048708061088,35.9314254111993,14.516578095258971,38.67191249181018
2019,2019-07-25,7,20.185266563784207,18.8785772287332,-3.91280109503924,35.1737117220395,14.425072182711627,39.08651281707874
2019,2019-07-26,7,18.23572654583928,14.5077587871455,-4.70194493605192,32.7537425525222,13.955829025097255,37.455687488574114
2019,2019-07-27,7,18.141788976658034,14.1456107272603,-2.83082642220336,32.3778450856352,12.85519463616327,35.20867150783856
2019,2019-07-28,7,19.206110470700803,14.4349751705647,-2.60766672229238,34.9728611892004,13.28233923085256,37.58052791149278
2019,2019-07-29,7,20.339052616272106,16.3688263740852,-3.62324023827938,36.453629902978,14.306996314482612,40.07687014125738
2019,2019-07-30,7,18.846636108708246,15.6524677384454,-4.20586296925904,33.7841486467539,14.117913929911264,37.990011616012936
2019,2019-07-31,7,19.442760688323993,16.4553669287102,-2.80885227465006,33.2118944109197,13.12023509206887,36.020746685569755
2019,2019-08-01,7,17.913510470754687,15.8947604583361,-5.56632650901889,32.7162743742107,14.523198856030744,38.28260088322959
2019,2019-08-02,7,13.635076355373814,14.242194959354,-12.284807219676,31.1435858330015,16.744275287732265,43.4283930526775
2019,2019-08-03,7,14.662116499712452,15.0365944089003,-8.02699456789071,31.2965785203616,15.535385041880247,39.32357308825231
2019,2019-08-04,7,17.083423769393246,16.847560400133,-0.976632028405788,31.9749448006377,13.961736298238508,32.95157682904349
2019,2019-08-05,7,18.779254836243403,17.5855108708078,-1.95676194425687,33.1558590787949,13.810101054443502,35.112621023051766
2019,2019-08-06,7,18.38025255549465,16.9192001699003,-5.92656369130395,32.3639778549051,14.048432562649129,38.29054154620905
2019,2019-08-07,7,16.74912108043694,14.7899042509749,-8.38564155523613,30.4597686135793,13.845740577145788,38.845410168815434
2019,2019-08-08,7,16.781494763692717,14.6412049529076,-6.93604518924218,30.3816602070697,13.080645072707815,37.31770539631188
2019,2019-08-09,7,17.541897950247325,15.347058663454,-5.46465830661873,30.9049383272253,12.546907075006017,36.369596633844026
2019,2019-08-10,7,16.987866191124514,14.4450330523881,-6.680839945912,30.0946255784467,12.82395941391975,36.7754655243587
