duplicate_group_key,scene_id,canonical_rank,is_canonical_scene,canonical_scene_id,duplicate_group_size,platform,datetime,end_datetime,orbit_state,relative_orbit,bbox,vv_assets_n,vh_assets_n,data_role_assets_n,tiff_assets_n,asset_rows_n
"S1B|2019-08-28 17:22:39.873306+00:00|2019-08-28 17:23:04.872834+00:00|ascending|88|(5.476121, 44.977287, 9.207741, 46.875034)",S1B_IW_GRDH_1SDV_20190828T172239_20190828T172304_017789_0217A2_9BD8_COG,1,True,S1B_IW_GRDH_1SDV_20190828T172239_20190828T172304_017789_0217A2_9BD8_COG,1,S1B,2019-08-28 17:22:39.873306+00:00,2019-08-28 17:23:04.872834+00:00,ascending,88,"[5.476121, 44.977287, 9.207741, 46.875034]",4,4,3,2,11
"S1B|2019-09-03 05:26:25.928942+00:00|2019-09-03 05:26:50.926867+00:00|descending|168|(8.687095, 45.257919, 12.341696, 47.158947)",S1B_IW_GRDH_1SDV_20190903T052625_20190903T052650_017869_021A0C_CDA1_COG,1,True,S1B_IW_GRDH_1SDV_20190903T052625_20190903T052650_017869_021A0C_CDA1_COG,1,S1B,2019-09-03 05:26:25.928942+00:00,2019-09-03 05:26:50.926867+00:00,descending,168,"[8.687095, 45.257919, 12.341696, 47.158947]",4,4,3,2,11
"S1B|2019-09-03 05:26:32.967338+00:00|2019-09-03 05:26:57.965941+00:00|descending|168|(8.55591, 44.835934, 12.226377, 46.740753)",S1B_IW_GRDH_1SDV_20190903T052632_20190903T052657_017869_021A0C_C2BE_COG,1,True,S1B_IW_GRDH_1SDV_20190903T052632_20190903T052657_017869_021A0C_C2BE_COG,1,S1B,2019-09-03 05:26:32.967338+00:00,2019-09-03 05:26:57.965941+00:00,descending,168,"[8.55591, 44.835934, 12.226377, 46.740753]",4,4,3,2,11
"S1B|2019-09-03 05:26:50.928353+00:00|2019-09-03 05:27:15.927776+00:00|descending|168|(8.356053, 43.759315, 11.951324, 45.657097)",S1B_IW_GRDH_1SDV_20190903T052650_20190903T052715_017869_021A0C_CCB0_COG,1,True,S1B_IW_GRDH_1SDV_20190903T052650_20190903T052715_017869_021A0C_CCB0_COG,1,S1B,2019-09-03 05:26:50.928353+00:00,2019-09-03 05:27:15.927776+00:00,descending,168,"[8.356053, 43.759315, 11.951324, 45.657097]",4,4,3,2,11
"S1B|2019-09-03 05:26:57.967416+00:00|2019-09-03 05:27:22.966018+00:00|descending|168|(8.225419, 43.337368, 11.834204, 45.239273)",S1B_IW_GRDH_1SDV_20190903T052657_20190903T052722_017869_021A0C_92A3_COG,1,True,S1B_IW_GRDH_1SDV_20190903T052657_20190903T052722_017869_021A0C_92A3_COG,1,S1B,2019-09-03 05:26:57.967416+00:00,2019-09-03 05:27:22.966018+00:00,descending,168,"[8.225419, 43.337368, 11.834204, 45.239273]",4,4,3,2,11
"S1B|2019-09-04 17:14:03.703595+00:00|2019-09-04 17:14:28.703491+00:00|ascending|15|(7.910544, 43.593594, 11.566438, 45.501774)",S1B_IW_GRDH_1SDV_20190904T171403_20190904T171428_017891_021ABA_58EE_COG,1,True,S1B_IW_GRDH_1SDV_20190904T171403_20190904T171428_017891_021ABA_58EE_COG,1,S1B,2019-09-04 17:14:03.703595+00:00,2019-09-04 17:14:28.703491+00:00,ascending,15,"[7.910544, 43.593594, 11.566438, 45.501774]",4,4,3,2,11
"S1B|2019-09-04 17:14:03.704772+00:00|2019-09-04 17:14:28.703146+00:00|ascending|15|(7.910535, 43.593662, 11.566407, 45.501755)",S1B_IW_GRDH_1SDV_20190904T171403_20190904T171428_017891_021ABA_DE27_COG,1,True,S1B_IW_GRDH_1SDV_20190904T171403_20190904T171428_017891_021ABA_DE27_COG,1,S1B,2019-09-04 17:14:03.704772+00:00,2019-09-04 17:14:28.703146+00:00,ascending,15,"[7.910535, 43.593662, 11.566407, 45.501755]",4,4,3,2,11
"S1B|2019-09-04 17:14:28.704644+00:00|2019-09-04 17:14:53.703018+00:00|ascending|15|(7.516375, 45.093124, 11.242352, 47.003319)",S1B_IW_GRDH_1SDV_20190904T171428_20190904T171453_017891_021ABA_FC40_COG,1,True,S1B_IW_GRDH_1SDV_20190904T171428_20190904T171453_017891_021ABA_FC40_COG,1,S1B,2019-09-04 17:14:28.704644+00:00,2019-09-04 17:14:53.703018+00:00,ascending,15,"[7.516375, 45.093124, 11.242352, 47.003319]",4,4,3,2,11
"S1B|2019-09-04 17:14:28.704988+00:00|2019-09-04 17:14:53.703386+00:00|ascending|15|(7.516382, 45.093147, 11.242363, 47.003345)",S1B_IW_GRDH_1SDV_20190904T171428_20190904T171453_017891_021ABA_6A9D_COG,1,True,S1B_IW_GRDH_1SDV_20190904T171428_20190904T171453_017891_021ABA_6A9D_COG,1,S1B,2019-09-04 17:14:28.704988+00:00,2019-09-04 17:14:53.703386+00:00,ascending,15,"[7.516382, 45.093147, 11.242363, 47.003345]",4,4,3,2,11
"S1B|2019-09-08 05:34:44.101694+00:00|2019-09-08 05:35:09.099150+00:00|descending|66|(6.580172, 45.011154, 10.19972, 46.91177)",S1B_IW_GRDH_1SDV_20190908T053444_20190908T053509_017942_021C60_EB40_COG,1,True,S1B_IW_GRDH_1SDV_20190908T053444_20190908T053509_017942_021C60_EB40_COG,1,S1B,2019-09-08 05:34:44.101694+00:00,2019-09-08 05:35:09.099150+00:00,descending,66,"[6.580172, 45.011154, 10.19972, 46.91177]",4,4,3,2,11
