scene_id,resolve_status,resolve_source,remote_attempts,platform,datetime,end_datetime,instrument_mode,polarizations,orbit_state,relative_orbit,absolute_orbit,product_type,processing_level,bbox,asset_count,stac_item_url
S1A_IW_GRDH_1SDV_20150726T172242_20150726T172307_006985_009792_1DD8_COG,OK,CACHE,0,sentinel-1a,2015-07-26T17:22:42.900890Z,2015-07-26T17:23:07.899814Z,IW,VV|VH,ascending,88,6985,,L1,"[5.712722, 44.246632, 9.356726, 46.144993]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150726T172242_20150726T172307_006985_009792_1DD8_COG
S1A_IW_GRDH_1SDV_20150801T052643_20150801T052712_007065_0099D0_71BA_COG,OK,CACHE,0,sentinel-1a,2015-08-01T05:26:43.858049Z,2015-08-01T05:27:12.760687Z,IW,VV|VH,descending,168,7065,,L1,"[8.655071, 44.856121, 12.288724, 46.985481]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150801T052643_20150801T052712_007065_0099D0_71BA_COG
S1A_IW_GRDH_1SDV_20150802T171443_20150802T171509_007087_009A61_BC34_COG,OK,CACHE,0,sentinel-1a,2015-08-02T17:14:43.710038Z,2015-08-02T17:15:09.742258Z,IW,VV|VH,ascending,15,7087,,L1,"[7.484028, 45.086056, 11.158179, 47.047123]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150802T171443_20150802T171509_007087_009A61_BC34_COG
S1A_IW_GRDH_1SDV_20150806T053448_20150806T053517_007138_009BD3_9AB9_COG,OK,CACHE,0,sentinel-1a,2015-08-06T05:34:48.534463Z,2015-08-06T05:35:17.457480Z,IW,VV|VH,descending,66,7138,,L1,"[6.721645, 45.411552, 10.409116, 47.540073]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150806T053448_20150806T053517_007138_009BD3_9AB9_COG
S1A_IW_GRDH_1SDV_20150806T053517_20150806T053542_007138_009BD3_F254_COG,OK,CACHE,0,sentinel-1a,2015-08-06T05:35:17.458976Z,2015-08-06T05:35:42.458148Z,IW,VV|VH,descending,66,7138,,L1,"[6.392298, 43.912518, 9.935987, 45.804443]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150806T053517_20150806T053542_007138_009BD3_F254_COG
S1A_IW_GRDH_1SDV_20150807T172245_20150807T172310_007160_009C69_1064_COG,OK,CACHE,0,sentinel-1a,2015-08-07T17:22:45.377747Z,2015-08-07T17:23:10.376220Z,IW,VV|VH,ascending,88,7160,,L1,"[5.698075, 44.36171, 9.327896, 46.256733]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150807T172245_20150807T172310_007160_009C69_1064_COG
S1A_IW_GRDH_1SDV_20150813T052644_20150813T052713_007240_009E8F_0E9C_COG,OK,CACHE,0,sentinel-1a,2015-08-13T05:26:44.452681Z,2015-08-13T05:27:13.364761Z,IW,VV|VH,descending,168,7240,,L1,"[8.655644, 44.856186, 12.289193, 46.986103]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150813T052644_20150813T052713_007240_009E8F_0E9C_COG
S1A_IW_GRDH_1SDV_20150813T052713_20150813T052738_007240_009E8F_2926_COG,OK,CACHE,0,sentinel-1a,2015-08-13T05:27:13.366255Z,2015-08-13T05:27:38.365228Z,IW,VV|VH,descending,168,7240,,L1,"[8.32316, 43.357548, 11.839166, 45.249069]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150813T052713_20150813T052738_007240_009E8F_2926_COG
S1A_IW_GRDH_1SDV_20150814T171429_20150814T171454_007262_009F26_14CE_COG,OK,CACHE,0,sentinel-1a,2015-08-14T17:14:29.313543Z,2015-08-14T17:14:54.311587Z,IW,VV|VH,ascending,15,7262,,L1,"[7.779164, 44.188522, 11.354367, 46.084183]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150814T171429_20150814T171454_007262_009F26_14CE_COG
S1A_IW_GRDH_1SDV_20150818T053449_20150818T053518_007313_00A098_4D22_COG,OK,CACHE,0,sentinel-1a,2015-08-18T05:34:49.206993Z,2015-08-18T05:35:18.122250Z,IW,VV|VH,descending,66,7313,,L1,"[6.720493, 45.411686, 10.407636, 47.539684]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150818T053449_20150818T053518_007313_00A098_4D22_COG
S1A_IW_GRDH_1SDV_20150818T053518_20150818T053543_007313_00A098_2B61_COG,OK,CACHE,0,sentinel-1a,2015-08-18T05:35:18.123746Z,2015-08-18T05:35:43.122678Z,IW,VV|VH,descending,66,7313,,L1,"[6.391319, 43.912647, 9.934729, 45.804485]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150818T053518_20150818T053543_007313_00A098_2B61_COG
S1A_IW_GRDH_1SDV_20150819T172246_20150819T172311_007335_00A12A_2900_COG,OK,CACHE,0,sentinel-1a,2015-08-19T17:22:46.022427Z,2015-08-19T17:23:11.021144Z,IW,VV|VH,ascending,88,7335,,L1,"[5.698642, 44.361664, 9.32834, 46.256748]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150819T172246_20150819T172311_007335_00A12A_2900_COG
S1A_IW_GRDH_1SDV_20150825T052645_20150825T052714_007415_00A34E_2F41_COG,OK,CACHE,0,sentinel-1a,2015-08-25T05:26:45.112455Z,2015-08-25T05:27:14.027518Z,IW,VV|VH,descending,168,7415,,L1,"[8.655357, 44.856098, 12.288967, 46.986225]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150825T052645_20150825T052714_007415_00A34E_2F41_COG
S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,OK,CACHE,0,sentinel-1a,2015-08-26T17:14:29.880612Z,2015-08-26T17:14:54.880067Z,IW,VV|VH,ascending,15,7437,,L1,"[7.778686, 44.188583, 11.353879, 46.084316]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG
