orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,invalid_scene_bboxes_n,study_bbox_coverage_fraction,study_bbox_coverage_pct,full_coverage_ge_99_5pct,high_coverage_ge_95pct
ascending,88,2017-04-10,2017,2,2,0,0.8706953184775293,87.06953184775294,False,False
ascending,88,2017-04-16,2017,2,2,0,0.8670107223584558,86.70107223584557,False,False
ascending,88,2017-04-22,2017,2,2,0,0.8706062840972516,87.06062840972515,False,False
ascending,88,2017-04-28,2017,2,2,0,0.8678017409824859,86.78017409824858,False,False
ascending,88,2017-05-04,2017,2,2,0,0.8700319828628792,87.00319828628793,False,False
ascending,88,2017-05-10,2017,2,2,0,0.8678741363745447,86.78741363745446,False,False
ascending,88,2017-05-16,2017,2,2,0,0.8703963752271933,87.03963752271933,False,False
ascending,88,2017-05-22,2017,2,2,0,0.8676154889140546,86.76154889140545,False,False
ascending,88,2017-05-28,2017,2,2,0,0.8711404903789167,87.11404903789168,False,False
ascending,88,2017-06-03,2017,2,2,0,0.8440087849560551,84.40087849560551,False,False
ascending,88,2017-06-09,2017,2,2,0,0.8710756308965958,87.10756308965958,False,False
ascending,88,2017-06-15,2017,2,2,0,0.8437353128190318,84.37353128190318,False,False
ascending,88,2017-06-27,2017,2,2,0,0.8444994451560501,84.44994451560501,False,False
ascending,88,2017-07-03,2017,2,2,0,0.8710455596820644,87.10455596820644,False,False
ascending,88,2017-07-09,2017,2,2,0,0.8446429284816497,84.46429284816497,False,False
ascending,88,2017-07-15,2017,2,2,0,0.8705697269344886,87.05697269344887,False,False
ascending,88,2017-07-21,2017,2,2,0,0.8442829378440367,84.42829378440368,False,False
ascending,88,2017-07-27,2017,2,2,0,0.8711670238035029,87.11670238035029,False,False
ascending,88,2017-08-08,2017,2,2,0,0.8712802330817365,87.12802330817365,False,False
ascending,88,2017-08-14,2017,2,2,0,0.8436776906364255,84.36776906364256,False,False
ascending,88,2017-08-20,2017,2,2,0,0.871078579054883,87.10785790548829,False,False
ascending,88,2017-08-26,2017,2,2,0,0.8443925541858865,84.43925541858866,False,False
ascending,88,2017-09-01,2017,2,2,0,0.8708197307572549,87.0819730757255,False,False
ascending,88,2017-09-07,2017,2,2,0,0.8452042989341626,84.52042989341626,False,False
ascending,88,2017-09-13,2017,2,2,0,0.8702678355258665,87.02678355258665,False,False
ascending,88,2017-09-19,2017,2,2,0,0.8444062207128138,84.44062207128138,False,False
ascending,88,2017-09-25,2017,2,2,0,0.8703285675865851,87.03285675865851,False,False
ascending,88,2018-04-05,2018,2,2,0,0.8704936644506758,87.04936644506758,False,False
ascending,88,2018-04-11,2018,2,2,0,0.8437921070687631,84.37921070687631,False,False
ascending,88,2018-04-17,2018,2,2,0,0.8708268063371446,87.08268063371446,False,False
ascending,88,2018-04-23,2018,2,2,0,0.8441160487730115,84.41160487730114,False,False
ascending,88,2018-04-29,2018,2,2,0,0.8710302292589703,87.10302292589704,False,False
ascending,88,2018-05-05,2018,2,2,0,0.8440877228345194,84.40877228345194,False,False
ascending,88,2018-05-11,2018,2,2,0,0.870131040981334,87.0131040981334,False,False
ascending,88,2018-05-17,2018,2,2,0,0.8444819575262915,84.44819575262915,False,False
ascending,88,2018-05-23,2018,2,2,0,0.8702006175169142,87.02006175169143,False,False
ascending,88,2018-05-29,2018,2,2,0,0.8447398068900961,84.47398068900961,False,False
ascending,88,2018-06-04,2018,2,2,0,0.8704152434402328,87.04152434402329,False,False
ascending,88,2018-06-16,2018,2,2,0,0.8678326567805287,86.78326567805287,False,False
ascending,88,2018-06-22,2018,1,1,0,0.4013377023839208,40.13377023839208,False,False
ascending,88,2018-06-28,2018,2,2,0,0.8684075476465579,86.8407547646558,False,False
ascending,88,2018-07-04,2018,1,1,0,0.4010579834213183,40.105798342131834,False,False
ascending,88,2018-07-10,2018,2,2,0,0.8681339585574939,86.81339585574939,False,False
ascending,88,2018-07-16,2018,2,2,0,0.8576276586839785,85.76276586839785,False,False
ascending,88,2018-07-22,2018,2,2,0,0.8674264005685333,86.74264005685333,False,False
ascending,88,2018-07-28,2018,2,2,0,0.8509278064226291,85.09278064226291,False,False
ascending,88,2018-08-03,2018,4,4,0,0.868046103440531,86.8046103440531,False,False
ascending,88,2018-08-09,2018,4,4,0,0.8428734877238357,84.28734877238358,False,False
ascending,88,2018-08-15,2018,4,4,0,0.86753902021511,86.753902021511,False,False
ascending,88,2018-08-21,2018,4,4,0,0.8424012952659008,84.24012952659008,False,False
ascending,88,2018-08-27,2018,4,4,0,0.8677377260836764,86.77377260836764,False,False
ascending,88,2018-09-02,2018,4,4,0,0.8426793341735302,84.26793341735302,False,False
ascending,88,2018-09-08,2018,4,4,0,0.8678692139432914,86.78692139432914,False,False
ascending,88,2018-09-14,2018,4,4,0,0.8429646455018387,84.29646455018387,False,False
ascending,88,2018-09-20,2018,4,4,0,0.867630413122017,86.76304131220171,False,False
ascending,88,2018-09-26,2018,4,4,0,0.8439173432783426,84.39173432783426,False,False
ascending,88,2019-04-06,2019,4,4,0,0.8436972893944418,84.36972893944417,False,False
ascending,88,2019-04-12,2019,4,4,0,0.8676475124400833,86.76475124400834,False,False
ascending,88,2019-04-18,2019,4,4,0,0.84401514626067,84.401514626067,False,False
ascending,88,2019-04-24,2019,4,4,0,0.8667819331669226,86.67819331669226,False,False
ascending,88,2019-04-30,2019,4,4,0,0.8434498908216962,84.34498908216962,False,False
ascending,88,2019-05-06,2019,4,4,0,0.8681080147645649,86.81080147645649,False,False
ascending,88,2019-05-12,2019,4,4,0,0.8437823651509309,84.37823651509308,False,False
ascending,88,2019-05-18,2019,4,4,0,0.8679228704241205,86.79228704241206,False,False
ascending,88,2019-05-24,2019,4,4,0,0.8437518707634648,84.37518707634648,False,False
ascending,88,2019-05-30,2019,4,4,0,0.8674776985227333,86.74776985227332,False,False
ascending,88,2019-06-05,2019,4,4,0,0.8443193660194594,84.43193660194595,False,False
ascending,88,2019-06-11,2019,4,4,0,0.8679729891150055,86.79729891150055,False,False
ascending,88,2019-06-17,2019,4,4,0,0.8445307775915171,84.45307775915171,False,False
ascending,88,2019-06-23,2019,4,4,0,0.8677666180348915,86.77666180348915,False,False
ascending,88,2019-06-29,2019,4,4,0,0.84418855185415,84.418855185415,False,False
ascending,88,2019-07-05,2019,4,4,0,0.8680142633310276,86.80142633310275,False,False
ascending,88,2019-07-11,2019,4,4,0,0.8439104076605295,84.39104076605295,False,False
ascending,88,2019-07-17,2019,4,4,0,0.8680803020766636,86.80803020766636,False,False
ascending,88,2019-07-23,2019,4,4,0,0.8434986499158744,84.34986499158744,False,False
ascending,88,2019-07-29,2019,4,4,0,0.8676716873380391,86.76716873380391,False,False
ascending,88,2019-08-04,2019,4,4,0,0.844129091695852,84.4129091695852,False,False
ascending,88,2019-08-10,2019,4,4,0,0.8670154273032796,86.70154273032796,False,False
ascending,88,2019-08-16,2019,4,4,0,0.8446294549739728,84.46294549739729,False,False
ascending,88,2019-08-22,2019,4,4,0,0.8668857083386365,86.68857083386365,False,False
ascending,88,2019-08-28,2019,4,4,0,0.8445345210571412,84.45345210571412,False,False
ascending,88,2019-09-03,2019,4,4,0,0.8674039945655494,86.74039945655494,False,False
ascending,88,2019-09-09,2019,4,4,0,0.8433874709258768,84.33874709258768,False,False
ascending,88,2019-09-15,2019,4,4,0,0.8680732264967741,86.80732264967742,False,False
ascending,88,2019-09-21,2019,4,4,0,0.8435924274058455,84.35924274058455,False,False
ascending,88,2019-09-27,2019,4,4,0,0.8676652013898076,86.76652013898077,False,False
ascending,88,2020-04-06,2020,4,4,0,0.8678196848840636,86.78196848840636,False,False
ascending,88,2020-04-12,2020,4,4,0,0.8435762809930365,84.35762809930365,False,False
ascending,88,2020-04-18,2020,4,4,0,0.8675160245804683,86.75160245804683,False,False
ascending,88,2020-04-24,2020,4,4,0,0.8438669299468207,84.38669299468206,False,False
ascending,88,2020-04-30,2020,4,4,0,0.8672129539085309,86.72129539085309,False,False
ascending,88,2020-05-06,2020,4,4,0,0.844572979310424,84.45729793104239,False,False
ascending,88,2020-05-12,2020,4,4,0,0.8676180308572101,86.76180308572101,False,False
